x,y,z,q0,q1,q2,q3,q4,q5
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,14.634292063592028,0.0,0.0,0.0,-0.30344894443110615,0.0
1.0,3.0,1.0,89.73397857275287,0.0,0.0,0.0,0.0,0.0
1.0,3.0,2.0,13.896422963569453,0.0,0.0,0.0,0.0,0.0
1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,2.0,9.399784667954624,0.0,0.0,4.046798148610018,0.0,0.0
1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,1409.5772498404249,-6.10787516482677,0.0,0.0,0.0,0.0
